"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,9.0466221e-19,1004.703,0,1.7849999e-05,1.3098812e+08,0.2268457,0.38286194,0,1.2866836e-08,0,0,0,0,0.0083483178,0,0,0.024908261,1e-10,0,0,0,0.041138928,1,0,0.60000002,0,0
1.1849999,1.1937185e-10,1004.703,0,1.7849999e-05,33942.512,0.22689289,0.3829416,-6.8751351e-06,3.9609054e-09,-1.7858668e-12,-7.8999003e-09,-4.1281027e-11,0,0,0,0,0.024908395,3.0475326e-06,0.055154949,-4.1531217e-05,0,0,1,0.00020000001,0.60000002,0.00020000001,0
1.1849999,4.4449222e-09,1004.703,0,1.7849999e-05,8016.584,0.22689122,0.38293877,-1.2955201e-05,4.0265649e-09,-1.6933819e-11,-1.5412697e-08,-6.373771e-11,0,0,0,0,0.024913223,2.9237379e-05,0.10969975,-0.00010561922,0,0,1,0.00040000002,0.60000002,0.00040000002,0
1.1849999,3.9126451e-08,1004.703,0,1.7849999e-05,3625.9966,0.22688979,0.38293636,-1.948641e-05,4.0933581e-09,-6.3619408e-11,-2.2328592e-08,-7.8706194e-11,0,0,0,0,0.02495194,0.00011144397,0.16357437,-0.00020572393,0,0,1,0.00060000003,0.60000002,0.00060000003,0
1.1849999,1.5845245e-07,1004.703,0,1.7849999e-05,2075.7341,0.22688814,0.38293356,-2.3380229e-05,4.1604871e-09,-1.5383916e-10,-2.853975e-08,-7.6909937e-11,0,0,0,0,0.025085149,0.000274099,0.21672414,-0.00033880488,0,0,1,0.00080000004,0.60000002,0.00080000004,0
1.1849999,4.7876364e-07,1004.703,0,1.7849999e-05,1424.4043,0.22688508,0.3829284,-2.2325779e-05,4.2277217e-09,-2.9877018e-10,-3.3655876e-08,-4.1457643e-11,0,0,0,0,0.025442723,0.0005514113,0.26869014,-0.00050654938,0,0,1,0.001,0.60000002,0.001,0
1.1849999,1.0620565e-06,1004.703,0,1.7849999e-05,1079.4479,0.22688022,0.38292021,-1.6761149e-05,4.2956994e-09,-4.7802601e-10,-3.7473285e-08,2.9204899e-11,0,0,0,0,0.026093874,0.00093197351,0.31906441,-0.00070118101,0,0,1,0.0012000001,0.60000002,0.0012000001,0
1.1849999,1.9214999e-06,1004.703,0,1.7849999e-05,876.98462,0.22687416,0.38290998,-8.1347989e-06,4.3650235e-09,-6.6266542e-10,-3.9865025e-08,1.2787905e-10,0,0,0,0,0.027053302,0.001390393,0.36740172,-0.00091623358,0,0,1,0.0014000001,0.60000002,0.0014000001,0
1.1849999,3.0094875e-06,1004.703,0,1.7849999e-05,747.1687,0.22686787,0.38289937,1.8785248e-06,4.4357189e-09,-8.2999829e-10,-4.0967318e-08,2.439087e-10,0,0,0,0,0.028267862,0.0018932719,0.41362283,-0.0011448463,0,0,1,0.0016000001,0.60000002,0.0016000001,0
1.1849999,4.307858e-06,1004.703,0,1.7849999e-05,670.13794,0.22686306,0.38289127,1.1168066e-05,4.5078368e-09,-9.4216956e-10,-4.0485656e-08,3.7143361e-10,0,0,0,0,0.029717281,0.0023970637,0.45650375,-0.0013823577,0,0,1,0.0018,0.60000002,0.0018,0
