"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,3.5142431e-10,1004.703,0,1.7849999e-05,578.90149,0.28682038,0.48408505,-6.4193018e-06,5.6148552e-09,6.3802312e-16,9.0574961e-09,-3.6329995e-10,0,0,0,0,0.024908654,1.7145496e-07,0.80974948,0.001711644,0,0,1,0.0032000002,0.2,0.0032000002,0
1.1849999,3.616247e-10,1004.703,0,1.7849999e-05,554.83337,0.28681988,0.48408419,-6.8212576e-06,5.7071832e-09,-4.4118334e-15,8.9568246e-09,-3.8963746e-10,0,0,0,0,0.024908666,1.6891063e-07,0.85142684,0.0018984327,0,0,1,0.0034,0.2,0.0034,0
1.1849999,3.7182507e-10,1004.703,0,1.7849999e-05,530.76526,0.28681937,0.48408329,-7.2232137e-06,5.7995111e-09,-9.4616901e-15,8.8561531e-09,-4.1597498e-10,0,0,0,0,0.024908677,1.6636629e-07,0.8931042,0.0020852212,0,0,1,0.0035999999,0.2,0.0035999999,0
1.1849999,3.7801437e-10,1004.703,0,1.7849999e-05,504.96057,0.28685108,0.48413682,-7.4995442e-06,5.8926202e-09,-1.4673179e-14,8.6862171e-09,-4.3617251e-10,0,0,0,0,0.024908684,1.6089183e-07,0.93161863,0.0022757931,0,0,1,0.0038000001,0.2,0.0038000001,0
1.1849999,3.8232578e-10,1004.703,0,1.7849999e-05,478.34283,0.28689787,0.4842158,-7.7170589e-06,5.9860952e-09,-1.9960338e-14,8.4838527e-09,-4.5349549e-10,0,0,0,0,0.024908688,1.5404555e-07,0.96865231,0.0024681357,0,0,1,0.0040000002,0.2,0.0040000002,0
1.1849999,3.8663719e-10,1004.703,0,1.7849999e-05,451.72519,0.28694466,0.48429477,-7.9345737e-06,6.0795702e-09,-2.5247486e-14,8.2814893e-09,-4.7081838e-10,0,0,0,0,0.024908694,1.4719929e-07,1.0056859,0.002660478,0,0,1,0.0041999999,0.2,0.0041999999,0
1.1849999,3.9091327e-10,1004.703,0,1.7849999e-05,424.23892,0.28693724,0.48428228,-8.5107977e-06,6.1757115e-09,-3.0666648e-14,8.0606091e-09,-4.8228704e-10,0,0,0,0,0.024908697,1.3976918e-07,1.0404527,0.0028360439,0,0,1,0.0044,0.2,0.0044,0
1.1849999,3.9513645e-10,1004.703,0,1.7849999e-05,395.45212,0.28684869,0.4841328,-9.624162e-06,6.2758456e-09,-3.6283476e-14,7.8120026e-09,-4.8498933e-10,0,0,0,0,0.024908703,1.3146489e-07,1.0718251,0.0029864882,0,0,1,0.0046000001,0.2,0.0046000001,0
1.1849999,3.9935966e-10,1004.703,0,1.7849999e-05,366.66531,0.28676012,0.48398331,-1.0737526e-05,6.3759802e-09,-4.1900304e-14,7.5633961e-09,-4.8769161e-10,0,0,0,0,0.024908708,1.2316059e-07,1.1031977,0.0031369324,0,0,1,0.0048000002,0.2,0.0048000002,0
1.1849999,4.0358283e-10,1004.703,0,1.7849999e-05,337.87857,0.28667155,0.48383382,-1.1850889e-05,6.4761143e-09,-4.7517122e-14,7.314791e-09,-4.9039384e-10,0,0,0,0,0.024908712,1.1485631e-07,1.13457,0.0032873764,0,0,1,0.0049999999,0.2,0.0049999999,0
1.1849999,3.9683359e-10,1004.703,0,1.7849999e-05,310.4346,0.28681377,0.48407388,-1.238408e-05,6.8897199e-09,-5.5294365e-14,7.327797e-09,-5.0616156e-10,0,0,0,0,0.024908705,1.0466825e-07,1.1624025,0.0034544833,0,0,1,0.0052,0.2,0.0052,0
1.1849999,3.8076625e-10,1004.703,0,1.7849999e-05,284.13098,0.28715199,0.48464468,-1.2424572e-05,7.5695352e-09,-6.4906305e-14,7.5629725e-09,-5.3302479e-10,0,0,0,0,0.024908686,9.288042e-08,1.1872286,0.0036357411,0,0,1,0.0054000001,0.2,0.0054000001,0
1.1849999,3.6469894e-10,1004.703,0,1.7849999e-05,257.82736,0.28749022,0.48521551,-1.2465062e-05,8.2493505e-09,-7.4518239e-14,7.7981479e-09,-5.5988808e-10,0,0,0,0,0.024908669,8.1092594e-08,1.2120546,0.0038169988,0,0,1,0.0056000003,0.2,0.0056000003,0
1.1849999,3.4863162e-10,1004.703,0,1.7849999e-05,231.52382,0.28782842,0.48578635,-1.2505554e-05,8.929165e-09,-8.4130158e-14,8.0333233e-09,-5.8675126e-10,0,0,0,0,0.024908651,6.9304789e-08,1.2368807,0.0039982558,0,0,1,0.0057999999,0.2,0.0057999999,0
1.1849999,3.3256428e-10,1004.703,0,1.7849999e-05,205.2202,0.28816664,0.48635718,-1.2546045e-05,9.6089803e-09,-9.3742099e-14,8.2684988e-09,-6.1361455e-10,0,0,0,0,0.024908632,5.7516967e-08,1.2617067,0.0041795135,0,0,1,0.0060000001,0.2,0.0060000001,0
1.1849999,3.2589817e-10,1004.703,0,1.7849999e-05,194.50529,0.28806302,0.48618227,-1.2480967e-05,9.8186694e-09,-8.9304005e-14,8.0998692e-09,-6.5994959e-10,0,0,0,0,0.024908625,5.4288432e-08,1.2730566,0.004244817,0,0,1,0.0062000002,0.2,0.0062000002,0
1.1849999,3.1923206e-10,1004.703,0,1.7849999e-05,183.79041,0.2879594,0.48600739,-1.2415888e-05,1.0028359e-08,-8.4865911e-14,7.9312397e-09,-7.0628464e-10,0,0,0,0,0.024908617,5.1059896e-08,1.2844065,0.0043101204,0,0,1,0.0064000003,0.2,0.0064000003,0
1.1849999,3.1256595e-10,1004.703,0,1.7849999e-05,173.07553,0.28785577,0.48583251,-1.235081e-05,1.0238048e-08,-8.0427825e-14,7.762611e-09,-7.5261958e-10,0,0,0,0,0.02490861,4.7831367e-08,1.2957565,0.0043754238,0,0,1,0.0066,0.2,0.0066,0
1.1849999,3.0589983e-10,1004.703,0,1.7849999e-05,162.36063,0.28775215,0.4856576,-1.2285732e-05,1.0447737e-08,-7.5989738e-14,7.5939814e-09,-7.9895462e-10,0,0,0,0,0.024908602,4.4602832e-08,1.3071065,0.0044407267,0,0,1,0.0068000001,0.2,0.0068000001,0
1.1849999,2.9923372e-10,1004.703,0,1.7849999e-05,151.64574,0.28764853,0.48548272,-1.2220654e-05,1.0657427e-08,-7.1551645e-14,7.4253519e-09,-8.4528967e-10,0,0,0,0,0.024908595,4.1374296e-08,1.3184564,0.0045060301,0,0,1,0.0070000002,0.2,0.0070000002,0
1.1849999,2.9256764e-10,1004.703,0,1.7849999e-05,140.93086,0.28754491,0.48530784,-1.2155575e-05,1.0867115e-08,-6.7113558e-14,7.2567232e-09,-8.9162461e-10,0,0,0,0,0.024908587,3.8145767e-08,1.3298063,0.0045713335,0,0,1,0.0071999999,0.2,0.0071999999,0
1.1849999,2.8590152e-10,1004.703,0,1.7849999e-05,130.21596,0.28744125,0.48513293,-1.2090497e-05,1.1076805e-08,-6.2675464e-14,7.0880937e-09,-9.379596e-10,0,0,0,0,0.02490858,3.4917232e-08,1.3411562,0.0046366369,0,0,1,0.0074,0.2,0.0074,0
1.1849999,2.7923541e-10,1004.703,0,1.7849999e-05,119.50107,0.28733763,0.48495805,-1.2025419e-05,1.1286494e-08,-5.8237371e-14,6.9194641e-09,-9.8429465e-10,0,0,0,0,0.024908572,3.1688696e-08,1.3525063,0.0047019403,0,0,1,0.0076000001,0.2,0.0076000001,0
