"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,1.0458287e-14,1004.703,0,1.7849999e-05,4661311,-0.66007543,-1.1140513,-33030.207,5.5983205e-09,2.2531962e-10,0,0,0,0.056811415,-0.00032774318,0,0.024908261,6.8650806e-08,0,0,0,0,1,0,0.89999998,0,0
1.1849999,7.2293651e-09,1004.703,0,1.7849999e-05,31820.109,-0.66139436,-1.1162775,-2.0995719,1.5244217e-09,3.9963166e-09,-1.7749377e-08,5.9644883e-10,0,0,0,0,0.024916332,0.00017883701,0.34886488,-0.0028887289,0,0,1,0.00020000001,0.89999998,0.00020000001,0
1.1849999,2.2469861e-07,1004.703,0,1.7849999e-05,8558.4854,-0.66221082,-1.1176554,-0.060717124,1.481771e-09,2.2571394e-09,-3.4461337e-08,7.9689749e-10,0,0,0,0,0.0251591,0.0015931096,0.64244616,-0.0061365818,0,0,1,0.00040000002,0.89999998,0.00040000002,0
1.1849999,1.4304018e-06,1004.703,0,1.7849999e-05,4365.0806,-0.66193283,-1.1171861,-0.0036060431,1.4619791e-09,-1.4463579e-10,-4.6126257e-08,1.0116679e-09,0,0,0,0,0.026505072,0.0050432333,0.88313979,-0.0098604644,0,0,1,0.00060000003,0.89999998,0.00060000003,0
1.1849999,4.0646219e-06,1004.703,0,1.7849999e-05,2767.0073,-0.66132438,-1.1161593,-0.00027485227,1.4523215e-09,-1.4657381e-09,-5.1751442e-08,1.1965074e-09,0,0,0,0,0.029445749,0.0094227837,1.0737892,-0.013711208,0,0,1,0.00080000004,0.89999998,0.00080000004,0
1.1849999,8.1183416e-06,1004.703,0,1.7849999e-05,1970.5425,-0.66056323,-1.1148747,-4.8289272e-05,1.4477299e-09,-2.0789845e-09,-5.4310473e-08,1.3587581e-09,0,0,0,0,0.033971064,0.013183836,1.2143978,-0.017463669,0,0,1,0.001,0.89999998,0.001,0
1.1849999,1.3103816e-05,1004.703,0,1.7849999e-05,1473.2473,-0.65973175,-1.1134714,-1.3914811e-05,1.4459817e-09,-2.4242499e-09,-5.5535192e-08,1.5097562e-09,0,0,0,0,0.039536532,0.01589651,1.3207651,-0.021046821,0,0,1,0.0012000001,0.89999998,0.0012000001,0
1.1849999,1.8780825e-05,1004.703,0,1.7849999e-05,1138.1365,-0.6588552,-1.1119919,-4.0714767e-06,1.4462064e-09,-2.6532796e-09,-5.6048208e-08,1.6553128e-09,0,0,0,0,0.045873985,0.017717754,1.4028448,-0.024453618,0,0,1,0.0014000001,0.89999998,0.0014000001,0
1.1849999,2.4977717e-05,1004.703,0,1.7849999e-05,898.99335,-0.65794653,-1.1104583,-3.4427973e-07,1.4478863e-09,-2.8290839e-09,-5.6196793e-08,1.7995642e-09,0,0,0,0,0.052791804,0.018919131,1.4683288,-0.027707735,0,0,1,0.0016000001,0.89999998,0.0016000001,0
1.1849999,3.1809639e-05,1004.703,0,1.7849999e-05,743.2356,-0.65699524,-1.1088527,1.547006e-07,1.4510372e-09,-2.9681619e-09,-5.6165831e-08,1.946272e-09,0,0,0,0,0.060418528,0.019553121,1.5172355,-0.030762916,0,0,1,0.0018,0.89999998,0.0018,0
1.1849999,3.9007045e-05,1004.703,0,1.7849999e-05,619.30017,-0.65602183,-1.1072098,-1.4817537e-07,1.4549126e-09,-3.0898897e-09,-5.6153741e-08,2.0947062e-09,0,0,0,0,0.06845326,0.019976655,1.5588928,-0.033707049,0,0,1,0.0020000001,0.89999998,0.0020000001,0
1.1849999,4.6483172e-05,1004.703,0,1.7849999e-05,519.63422,-0.65503162,-1.1055386,-1.0625851e-06,1.4593405e-09,-3.1983849e-09,-5.6156043e-08,2.2444568e-09,0,0,0,0,0.076799132,0.020239681,1.5950215,-0.036566488,0,0,1,0.0022,0.89999998,0.0022,0
