"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,9.0466272e-19,1004.703,0,1.7849999e-05,1.3098805e+08,-0.77514547,-1.3082623,0,2.1561302e-08,0,0,0,0,0.053160846,-0.00043804382,0,0.024908261,1e-10,0,0,0,0.10381439,1,0,0.89999998,0,0
1.1849999,3.9906727e-09,1004.703,0,1.7849999e-05,34242.887,-0.78339028,-1.3221776,6.2364496e-05,6.5506098e-09,-2.3821977e-12,-8.6280988e-10,3.3166986e-10,0,0,0,0,0.024912717,0.0001030966,0.32226387,-0.0024475625,0,0,1,0.00020000001,0.89999998,0.00020000001,0
1.1849999,1.3515483e-07,1004.703,0,1.7849999e-05,8553.749,-0.78273696,-1.3210751,4.1152307e-06,6.6308146e-09,-2.7987272e-11,-1.3055164e-09,4.6124637e-10,0,0,0,0,0.025059141,0.00095472619,0.59279507,-0.0064904061,0,0,1,0.00040000002,0.89999998,0.00040000002,0
1.1849999,9.0611832e-07,1004.703,0,1.7849999e-05,4299.4536,-0.7820769,-1.319961,-4.3008986e-06,6.7175869e-09,-1.1741563e-10,-1.7106271e-09,5.6969457e-10,0,0,0,0,0.025919795,0.0031384672,0.81831354,-0.010753802,0,0,1,0.00060000003,0.89999998,0.00060000003,0
1.1849999,2.6900434e-06,1004.703,0,1.7849999e-05,2714.3228,-0.78119463,-1.318472,-4.1951666e-06,6.803746e-09,-2.6792371e-10,-2.1016704e-09,6.532978e-10,0,0,0,0,0.027911255,0.0061152964,1.0014635,-0.014993434,0,0,1,0.00080000004,0.89999998,0.00080000004,0
1.1849999,5.5942546e-06,1004.703,0,1.7849999e-05,1928.5332,-0.78003788,-1.3165197,-7.5790274e-07,6.8881776e-09,-4.3764042e-10,-2.3603173e-09,7.0230399e-10,0,0,0,0,0.031153334,0.0088737514,1.1399215,-0.018985294,0,0,1,0.001,0.89999998,0.001,0
1.1849999,9.2882965e-06,1004.703,0,1.7849999e-05,1434.9545,-0.77867281,-1.3142158,2.9015741e-06,6.9710593e-09,-5.9266647e-10,-2.4130871e-09,7.2601747e-10,0,0,0,0,0.035277128,0.010951153,1.2457505,-0.022702599,0,0,1,0.0012000001,0.89999998,0.0012000001,0
1.1849999,1.3574375e-05,1004.703,0,1.7849999e-05,1101.524,-0.77715582,-1.3116555,5.8567539e-06,7.053075e-09,-7.2715844e-10,-2.242396e-09,7.3288975e-10,0,0,0,0,0.040061835,0.012376285,1.3274585,-0.026173599,0,0,1,0.0014000001,0.89999998,0.0014000001,0
1.1849999,1.828936e-05,1004.703,0,1.7849999e-05,864.89166,-0.77553993,-1.3089281,7.999678e-06,7.1347115e-09,-8.4530927e-10,-1.8759563e-09,7.2846951e-10,0,0,0,0,0.045325346,0.013326179,1.3923591,-0.029450817,0,0,1,0.0016000001,0.89999998,0.0016000001,0
1.1849999,2.3436205e-05,1004.703,0,1.7849999e-05,714.30731,-0.77384102,-1.3060608,9.1305756e-06,7.2167032e-09,-9.4791008e-10,-1.2686641e-09,7.1333228e-10,0,0,0,0,0.051070955,0.013836403,1.4404714,-0.032503225,0,0,1,0.0018,0.89999998,0.0018,0
