"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,9.0466179e-19,1004.703,0,1.7849999e-05,1.3098818e+08,0.25827548,0.43590799,0,1.4044685e-08,0,0,0,0,0.0069994945,0,0,0.024908261,1e-10,0,0,0,0.037669282,1,0,0.40000001,0,0
1.1849999,6.8619925e-13,1004.703,0,1.7849999e-05,33941.07,0.25832969,0.43599945,9.2184064e-06,4.2922208e-09,2.2855204e-16,-5.0073865e-11,1.0652349e-10,0,0,0,0,0.024908261,1.7539527e-08,0.046310361,-2.1199987e-05,0,0,1,0.00020000001,0.40000001,0.00020000001,0
1.1849999,2.566047e-11,1004.703,0,1.7849999e-05,8009.4429,0.25833017,0.43600029,3.4639988e-06,4.362573e-09,-7.9416989e-16,-2.3590628e-12,1.3753897e-10,0,0,0,0,0.024908291,1.6881403e-07,0.092289217,-2.1444423e-05,0,0,1,0.00040000002,0.40000001,0.00040000002,0
1.1849999,2.2839806e-10,1004.703,0,1.7849999e-05,3611.5344,0.25833035,0.43600059,1.8731719e-06,4.4340984e-09,-1.6697955e-14,1.5575506e-10,1.5975581e-10,0,0,0,0,0.024908517,6.4788804e-07,0.1379171,-1.4940839e-05,0,0,1,0.00060000003,0.40000001,0.00060000003,0
1.1849999,9.4045938e-10,1004.703,0,1.7849999e-05,2055.1921,0.25833037,0.43600065,7.1370886e-07,4.5065907e-09,-7.2319036e-14,4.0236847e-10,1.8099877e-10,0,0,0,0,0.024909312,1.6119177e-06,0.18321186,-3.295748e-06,0,0,1,0.00080000004,0.40000001,0.00080000004,0
1.1849999,2.9388409e-09,1004.703,0,1.7849999e-05,1402.0715,0.25833032,0.43600056,1.7274946e-06,4.5801536e-09,-2.3341667e-13,7.2287643e-10,2.0524964e-10,0,0,0,0,0.024911541,3.3263861e-06,0.22811505,1.3761318e-05,0,0,1,0.001,0.40000001,0.001,0
1.1849999,6.7749744e-09,1004.703,0,1.7849999e-05,1060.6292,0.25833017,0.43600032,1.8673708e-06,4.6547934e-09,-5.54145e-13,1.0826654e-09,2.3345589e-10,0,0,0,0,0.024915826,5.8349547e-06,0.27264535,3.5590205e-05,0,0,1,0.0012000001,0.40000001,0.0012000001,0
1.1849999,1.2749629e-08,1004.703,0,1.7849999e-05,866.69745,0.25832999,0.43599996,1.7844723e-06,4.7307145e-09,-1.0950001e-12,1.4544644e-09,2.6432001e-10,0,0,0,0,0.024922496,9.1217335e-06,0.31679055,6.2047198e-05,0,0,1,0.0014000001,0.40000001,0.0014000001,0
1.1849999,2.0676119e-08,1004.703,0,1.7849999e-05,749.15277,0.25832978,0.43599963,1.4953442e-06,4.8080029e-09,-1.8758296e-12,1.8186108e-09,2.9547192e-10,0,0,0,0,0.024931343,1.3050091e-05,0.36057109,9.2682778e-05,0,0,1,0.0016000001,0.40000001,0.0016000001,0
1.1849999,3.0763626e-08,1004.703,0,1.7849999e-05,686.98126,0.25832948,0.43599913,9.2501534e-07,4.8877795e-09,-3.0598284e-12,2.1364019e-09,3.1923025e-10,0,0,0,0,0.024942605,1.7594422e-05,0.40376601,0.00012952619,0,0,1,0.0018,0.40000001,0.0018,0
1.1849999,4.1323972e-08,1004.703,0,1.7849999e-05,641.69067,0.25832948,0.43599913,2.7331888e-07,4.9691553e-09,-4.4860873e-12,2.407138e-09,3.3078038e-10,0,0,0,0,0.024954394,2.2174932e-05,0.44652614,0.00017062262,0,0,1,0.0020000001,0.40000001,0.0020000001,0
1.1849999,5.2244907e-08,1004.703,0,1.7849999e-05,609.27435,0.25832972,0.43599951,-4.4043097e-07,5.0517501e-09,-6.0971024e-12,2.6419873e-09,3.3301992e-10,0,0,0,0,0.024966585,2.6783024e-05,0.4889546,0.00021496254,0,0,1,0.0022,0.40000001,0.0022,0
1.1849999,6.2219044e-08,1004.703,0,1.7849999e-05,588.80023,0.2583293,0.43599883,-1.0161566e-06,5.1360112e-09,-7.9477119e-12,2.7996792e-09,3.0901603e-10,0,0,0,0,0.024977719,3.0750016e-05,0.5305348,0.00026644868,0,0,1,0.0024000001,0.40000001,0.0024000001,0
1.1849999,7.2032314e-08,1004.703,0,1.7849999e-05,570.35504,0.25832877,0.43599793,-1.5684324e-06,5.2205551e-09,-9.8390237e-12,2.9442624e-09,2.8055369e-10,0,0,0,0,0.024988675,3.4608081e-05,0.57197088,0.00031914885,0,0,1,0.0026,0.40000001,0.0026,0
1.1849999,7.9607752e-08,1004.703,0,1.7849999e-05,556.11774,0.25833175,0.43600294,-1.8124841e-06,5.304194e-09,-1.1736245e-11,3.0495337e-09,2.3505736e-10,0,0,0,0,0.024997132,3.7236281e-05,0.61231035,0.00038032493,0,0,1,0.0028000001,0.40000001,0.0028000001,0
1.1849999,8.6756991e-08,1004.703,0,1.7849999e-05,542.68188,0.25833535,0.43600902,-1.9978349e-06,5.3876605e-09,-1.3634589e-11,3.147318e-09,1.8631698e-10,0,0,0,0,0.025005111,3.9630249e-05,0.65244091,0.00044311513,0,0,1,0.003,0.40000001,0.003,0
1.1849999,9.254061e-08,1004.703,0,1.7849999e-05,528.97217,0.25833458,0.43600777,-2.1139874e-06,5.4713221e-09,-1.5418231e-11,3.2536784e-09,1.5174845e-10,0,0,0,0,0.025011569,4.1230422e-05,0.69174957,0.00050978526,0,0,1,0.0032000002,0.40000001,0.0032000002,0
