"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,9.0466117e-19,1004.703,0,1.7849999e-05,1.3098827e+08,0.38941407,0.65723896,0,6.4338841e-09,0,0,0,0,0.019912822,0,0,0.024908261,1e-10,0,0,0,0.063536055,1,0,0,0,0
1.1849999,3.7508461e-15,1004.703,0,1.7849999e-05,33149.32,0.38941455,0.65723979,-2.6613794e-05,3.1527896e-09,-1.5024542e-14,5.2926192e-09,-3.7874512e-10,0,0,0,0,0.024908261,1e-10,0.12942204,-0.000346138,0,0,1,0.00020000001,0,0.00020000001,0
1.1849999,1.7778568e-14,1004.703,0,1.7849999e-05,6751.0073,0.38942912,0.65726435,-9.3676872e-06,4.1538293e-09,-7.0491005e-15,1.0466693e-08,-5.2547938e-10,0,0,0,0,0.024908261,1e-10,0.2563757,-0.00085023744,0,0,1,0.00040000002,0,0.00040000002,0
1.1849999,5.5716719e-14,1004.703,0,1.7849999e-05,2268.5728,0.38952902,0.65743297,-4.4062544e-06,5.2105436e-09,-5.1800512e-15,1.6281609e-08,-6.2314215e-10,0,0,0,0,0.024908261,1e-10,0.38017139,-0.0010450167,0,0,1,0.00060000003,0,0.00060000003,0
1.1849999,1.4673089e-13,1004.703,0,1.7849999e-05,824.29608,0.38971296,0.65774339,-2.0791124e-06,6.3156618e-09,-3.199051e-15,2.2600366e-08,-6.9091138e-10,0,0,0,0,0.024908261,1e-10,0.4968271,-0.00075831247,0,0,1,0.00080000004,0,0.00080000004,0
1.1849999,4.9275867e-13,1004.703,0,1.7849999e-05,295.93423,0.38980389,0.65789688,-3.3766366e-07,7.4669995e-09,-7.4241811e-15,2.9366413e-08,-7.2438722e-10,0,0,0,0,0.024908261,1e-10,0.59934336,-7.9261619e-05,0,0,1,0.001,0,0.001,0
1.1849999,1.8391057e-12,1004.703,0,1.7849999e-05,92.115524,0.38962954,0.65760261,-9.7183022e-07,8.6518446e-09,-1.4890023e-14,3.6471295e-08,-7.2068007e-10,0,0,0,0,0.024908265,1e-10,0.68684137,0.00066171319,0,0,1,0.0012000001,0,0.0012000001,0
1.1849999,6.8931531e-12,1004.703,0,1.7849999e-05,25.872778,0.38917452,0.65683466,-4.3014722e-07,9.8625677e-09,-2.0820078e-14,4.3812904e-08,-6.7558292e-10,0,0,0,0,0.024908271,1e-10,0.76069498,0.0012753354,0,0,1,0.0014000001,0,0.0014000001,0
1.1849999,1.9940532e-11,1004.703,0,1.7849999e-05,6.3396997,0.38850716,0.65570825,-1.4918385e-07,1.1092969e-08,-2.6177062e-14,5.1339274e-08,-5.9117267e-10,0,0,0,0,0.024908284,1e-10,0.8238408,0.0017096528,0,0,1,0.0016000001,0,0.0016000001,0
1.1849999,8.5046067e-11,1004.703,0,1.7849999e-05,2.6451302,0.38764605,0.65425497,-6.828153e-08,1.2346668e-08,-3.1372857e-14,5.9076349e-08,-4.5353576e-10,0,0,0,0,0.024908356,1e-10,0.87496549,0.001893981,0,0,1,0.0018,0,0.0018,0
